SRP.L,Serco
STAN.L,Standard Chartered
PMO.L,Premier Oil
AGK.L,Aggreko
VED.L,Vedanta
AFR.L,Afren
PFC.L,Petrofac
RRS.L,Randgold
WEIR.L,Weir
OCDO.L,Ocado
ADM.L,Admiral
GLEN.L,Glencore
AZN.L,AstraZeneca (UK)
AMFW.L,AMEC
INCH.L,Inchcape
ENQ.L,EnQuest
PTEC.L,Playtech
BAB.L,Babcock International
RR.L,Rolls.Royce
MAB.L,Mitchells&Butlers
BP.L,B. Petroleum
BLT.L,BHP Billiton
NXT.L,Next
SVT.L,Severn Trent
PFL.L,Premier Farnell
FXPO.L,Ferrexpo
BATS.L,B.A. Tobacco
HSBA.L,HSBC
FRES.L,Fresnillo
ASHM.L,Ashmore
BARC.L,Barclays
SMSN.IL,Samsung
SAGA,Saga
EVR.L,Evraz
TSCO.L,Tesco
SPD.L,Sports Direct International
CEY.L,Centamin
SIA.L,Soco International
BKG.L,Berkeley Group
CCL.L,Carnival
SAB.L,Sabmiller
TATE.L,Tate & Lyle
VOD.L,Vodafone
ITRK.L,Intertek
CGL.L,Catlin
EMG.L,Man Group
IMG.L,Imagination
ACA.L,ACACIA
BG.L,BG
DRX.L,Drax
KAZ.L,Kazakhmys
AHT.L,Ashtead
BRBY.L,Burberry
MRW.L,Morrison S.
TCG.L,Thomas Cook Group
LAND.L,Land Securities
BA.L,BAE Systems
MKS.L,M. & Spencer
RIO.L,Rio Tinto
SHP.L,Shire
SGC.L,Stagecoach
BBY.L,Balfour Beatty
NEX.L,National Express Group
RBS.L,RBS
KGF.L,Kingfisher
LRE.L,Lancashire
SHB.L,Shaftesbury
AO.L,AO World
BT.A.L,BT
CNE.L,Cairn Energy
LMI.L,Lonmin
IGG.L,IG Holdings
FLG.L,Resolution
AV.L,Aviva
LAD.L,Ladbrokes
SHI.L,SIG
JMAT.L,J. Matthey
SSE.L,SSE
IAP.L,ICAP
LSE.L,LSE
UU.L,United Utilities
LLOY.L,Lloyds
NG.L,National Grid
PRU.L,Prudential
EZJ.L,easyJet
ARM.L,ARM
REX.L,REXAM
BPTY.L,Bwin.party
TLW.L,Tullow Oil
MTO.L,Mitie Group
AVV.L,Aveva Group
ANTO.L,Antofagasta
RSA.L,RSA Insurance
MGGT.L,Meggitt
DOM.L,Domino's Pizza Group
SXS.L,Spectris
OML.L,Old Mutual
RTO.L,Rentokil Initial
GSK.L,GSK
SL.L,Standard Life
HSX.L,Hiscox
HOME.L,Home Retail
BOK.L,Booker
CSR.L,CSR
LGEN.L,LGEN
GFS.L,G4S
RDSA.L,Royal Dutch S.
IPF.L,International Personal Finance
CRDA.L,Croda International
STJ.L,St James's Place
SGE.L,Sage
SDR.L,Schroders
MPI.L,Michael Page
CLLN.L,Carillion
PIC.L,Pace
ULVR.L,Unilever
POLY.L,Polymetal International
ADN.L,Aberdeen Asset Management
WMH.L,William Hill
SMIN.L,Smiths
CNA.L,Centrica
SKY.L,British Sky
DLAR.L,De La Rue
MRO.L,Melrose
MCRO.L,Micro Focus
CPG.L,Compass
SMDS.L,Smith
BLND.L,British Land
GRG.L,Greggs
IHG.L,InterContinental Hotels
BDEV.L,Barratt Developments
TALK.L,TalkTalk Telecom
IMT.L,IMT
HAS.L,Hays
FGP.L,First
MNDI.L,Mondi
OPHR.L,Ophir Energy
TCY.L,Telecity
BWY.L,Bellway
ESNT.L,Filtrona
HIK.L,Hikma Pharmaceuticals
AAL.L,Anglo American
PFG.L,Provident Financial
WG.L,Wood
ULE.L,Ultra Electronics
PHNX.L,Phoenix Holdings
PSON.L,Pearson
ELM.L,Elementis
JUP.L,Jupiter Fund Management
BTG.L,BTG
RMG.L,Royal Mail
ITV.L,ITV
ABF.L,British Foods
IAG.L,IAG
IMI.L,IMI
DEB.L,Debenhams
PSN.L,Persimmon
INVP.L,Investec
TLPR.L,Tullett Prebon
COB.L,Cobham
AML.L,Amlin
HLMA.L,Halma
GKN.L,GKN
ECM.L,Electrocomponents
RMV.L,Rightmove
III.L,3i
SGRO.L,SEGRO
DLN.L,Derwent London
HSV.L,Homeserve
BEZ.L,Beazley
HMSO.L,Hammerson
WOS.L,Wolseley
TW.L,Taylor Wimpey
DGE.L,Diageo
GPOR.L,Great Portland Estates
EXPN.L,Experian
SBRY.L,Sainsbury
WPP.L,WPP
DMGT.L,DMGT
ISAT.L,Inmarsat
CPI.L,Capita
INF.L,Informa
BOY.L,Bodycote
FENR.L,Fenner
CSCG.L,Intu Properties
DLG.L,Direct Line
HGG.L,Henderson
SMWH.L,WH Smith
UBM.L,UBM
HL.L,Hargreaves L.
VCT.L,Victrex
CAPC.L,Capital & Counties Properties
BNZL.L,Bunzl
ROR.L,Rotork
RCP.L,RIT Capital Partners
HTG.L,Hunting
HFD.L,Halfords
BVS.L,Bovis Homes Group
SPT.L,Spirent Communications
RB.L,RB
BVIC.L,Britvic
ICP.L,Intermediate Capital
MGAM.L,Morgan Crucible
GNK.L,Greene King
SPX.L,Spirax.Sarco Engineering
CHG.L,Chemring
WTB.L,Whitbread
VSVS.L,Vesuvius
BBA.L,BBA Aviation
REL.L,Reed Elsevier
SNR.L,Senior
HWDN.L,Howden Joinery
CBG.L,Close Brothers Group
ATST.L,Alliance Trust
MYI.L,Murray International Trust
PNN.L,Pennon
SN.L,SNN
TPK.L,Travis Perkins
CWC.L,CWC
DCC.L,DCC
DC.L,Dixons Carphone
VM.L,Virgin Money
